Unique Key,CreatedDate,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
32307934,12/31/15 12:47,12/31/15 15:21,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10018,603 8 AVENUE,8 AVENUE,WEST 39 STREET,WEST 40 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/31/15 20:47,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/15 15:21,04 MANHATTAN,MANHATTAN,986736,214547,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75555811,-73.99102688,"(40.75555811306036, -73.99102688243183)"
32306519,12/31/15 12:49,12/31/15 17:07,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10040,34 HILLSIDE AVENUE,HILLSIDE AVENUE,BEND,BEND,,,ADDRESS,NEW YORK,,Precinct,Closed,12/31/15 20:49,The Police Department responded to the complaint and took action to fix the condition.,12/31/15 17:07,12 MANHATTAN,MANHATTAN,1003813,252041,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85844745,-73.92927889,"(40.85844745053305, -73.92927888866892)"
32307408,12/31/15 12:51,12/31/15 16:03,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10029,78 EAST 115 STREET,EAST 115 STREET,MADISON AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,12/31/15 20:51,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/15 16:03,11 MANHATTAN,MANHATTAN,999711,230299,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79878003,-73.9441579,"(40.79878002725963, -73.9441579011541)"
32306576,12/31/15 12:52,12/31/15 15:15,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10451,3204 PARK AVENUE,PARK AVENUE,EAST 161 STREET,TELLER AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,12/31/15 20:52,This complaint does not fall under the Police Department's jurisdiction.,12/31/15 15:15,03 BRONX,BRONX,1007424,239933,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8252058,-73.91626681,"(40.825205801555526, -73.91626681123752)"
32308754,12/31/15 12:53,12/31/15 15:58,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11101,34-35 41 STREET,41 STREET,34 AVENUE,35 AVENUE,,,ADDRESS,LONG ISLAND CITY,,Precinct,Closed,12/31/15 20:53,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/15 15:58,01 QUEENS,QUEENS,1006262,214605,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75569026,-73.9205484,"(40.75569025820027, -73.92054839803575)"
32309535,12/31/15 12:53,12/31/15 15:04,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10465,3604C EAST TREMONT AVENUE,EAST TREMONT AVENUE,SCOTT PLACE,PHILIP AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,12/31/15 20:53,The Police Department responded to the complaint and determined that police action was not necessary.,12/31/15 15:04,10 BRONX,BRONX,1032936,241125,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82837372,-73.8240774,"(40.82837371732443, -73.82407740404882)"
32309644,12/31/15 12:57,1/1/16 1:09,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,1271 MORRIS AVENUE,MORRIS AVENUE,EAST 168 STREET,EAST 169 STREET,,,ADDRESS,BRONX,,Precinct,Closed,12/31/15 20:57,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1/1/16 1:09,04 BRONX,BRONX,1008275,243445,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83484296,-73.91317937,"(40.83484295688418, -73.91317937007253)"
32306638,12/31/15 12:58,12/31/15 16:17,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10462,2125 GLEBE AVENUE,GLEBE AVENUE,WESTCHESTER AVENUE,LYON AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,12/31/15 20:58,The Police Department responded to the complaint and took action to fix the condition.,12/31/15 16:17,10 BRONX,BRONX,1025656,243562,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8350997,-73.85036795,"(40.83509970126888, -73.85036794858821)"
32309421,12/31/15 12:58,12/31/15 15:09,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,1271 MORRIS AVENUE,MORRIS AVENUE,EAST 168 STREET,EAST 169 STREET,,,ADDRESS,BRONX,,Precinct,Closed,12/31/15 20:58,The Police Department responded to the complaint and determined that police action was not necessary.,12/31/15 15:09,04 BRONX,BRONX,1008275,243445,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83484296,-73.91317937,"(40.83484295688418, -73.91317937007253)"
32309438,12/31/15 12:59,1/4/16 10:21,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10305,117 MILLS AVENUE,MILLS AVENUE,CEDAR AVE,ROBIN RD,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,1/4/16 10:21,02 STATEN ISLAND,STATEN ISLAND,965579,155870,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.59448369,-74.06722967,"(40.594483694744575, -74.06722966706447)"
32308788,12/31/15 13:00,12/31/15 15:09,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,1271 MORRIS AVENUE,MORRIS AVENUE,EAST 168 STREET,EAST 169 STREET,,,ADDRESS,BRONX,,Precinct,Closed,12/31/15 21:00,The Police Department responded to the complaint and determined that police action was not necessary.,12/31/15 15:09,04 BRONX,BRONX,1008275,243445,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83484296,-73.91317937,"(40.83484295688418, -73.91317937007253)"
32308870,12/31/15 13:04,12/31/15 15:20,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,655 BURKE AVENUE,BURKE AVENUE,BARKER AVENUE,OLINVILLE AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,12/31/15 21:04,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,12/31/15 15:20,12 BRONX,BRONX,1020428,256812,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87148993,-73.86918924,"(40.871489932698715, -73.86918924081932)"
32307328,12/31/15 13:10,1/4/16 10:45,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11228,952 71 STREET,71 STREET,FT HAMILTON PKWY,10 AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,1/4/16 10:45,10 BROOKLYN,BROOKLYN,980757,167753,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.62711906,-74.01258358,"(40.627119063890085, -74.01258358064995)"
32305917,12/31/15 13:10,12/31/15 16:17,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,540 OCEAN AVENUE,OCEAN AVENUE,CHURCH AVENUE,TENNIS COURT,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/31/15 21:10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/15 16:17,14 BROOKLYN,BROOKLYN,995094,175932,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.64956272,-73.9609212,"(40.6495627215646, -73.96092119795857)"
32305867,12/31/15 13:11,12/31/15 17:08,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10040,295 WADSWORTH AVENUE,WADSWORTH AVENUE,WEST 187 STREET,WEST 188 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/31/15 21:11,The Police Department responded to the complaint and took action to fix the condition.,12/31/15 17:08,12 MANHATTAN,MANHATTAN,1003098,250441,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85405749,-73.93186814,"(40.85405748549116, -73.93186814303544)"
32305220,12/31/15 13:13,12/31/15 16:02,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10029,19 EAST 109 STREET,EAST 109 STREET,5 AVENUE,MADISON AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,12/31/15 21:13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/15 16:02,11 MANHATTAN,MANHATTAN,998393,229248,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79589753,-73.94892047,"(40.79589752636182, -73.94892047097753)"
32307284,12/31/15 13:17,12/31/15 15:11,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11230,1333 EAST 18 STREET,EAST 18 STREET,AVENUE M,AVENUE N,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/31/15 21:17,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,12/31/15 15:11,14 BROOKLYN,BROOKLYN,996170,164344,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.61775474,-73.95706406,"(40.61775474119031, -73.95706405836958)"
32308144,12/31/15 13:18,12/31/15 14:00,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10004,2 WATER STREET,WATER STREET,STATE STREET,MOORE STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/31/15 21:18,The Police Department responded to the complaint and took action to fix the condition.,12/31/15 14:00,01 MANHATTAN,MANHATTAN,980714,195201,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70245771,-74.01275288,"(40.7024577129592, -74.01275288449412)"
32310336,12/31/15 13:19,12/31/15 15:43,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10463,3115 SEDGWICK AVENUE,SEDGWICK AVENUE,PEROT STREET,FT INDEPENDENCE STREET,,,ADDRESS,BRONX,,Precinct,Closed,12/31/15 21:19,The Police Department responded to the complaint and took action to fix the condition.,12/31/15 15:43,08 BRONX,BRONX,1012134,258803,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87698471,-73.89916999,"(40.87698470940194, -73.89916999011639)"
32308813,12/31/15 13:29,12/31/15 17:37,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,11221,,,,,GREENE AVENUE,MARCUS GARVEY BOULEVARD,INTERSECTION,BROOKLYN,,Precinct,Closed,12/31/15 21:29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/15 17:37,03 BROOKLYN,BROOKLYN,1001059,190579,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68975614,-73.93938846,"(40.68975614137581, -73.93938845659052)"
32305903,12/31/15 13:35,12/31/15 14:12,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11237,1443 MYRTLE AVENUE,MYRTLE AVENUE,KNICKERBOCKER AVENUE,BLEECKER STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/31/15 21:35,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/15 14:12,04 BROOKLYN,BROOKLYN,1006953,193893,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69883914,-73.91812413,"(40.698839143191776, -73.91812413373204)"
32307451,12/31/15 13:37,12/31/15 17:08,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10040,34 HILLSIDE AVENUE,HILLSIDE AVENUE,BEND,BEND,,,ADDRESS,NEW YORK,,Precinct,Closed,12/31/15 21:37,The Police Department responded to the complaint and took action to fix the condition.,12/31/15 17:08,12 MANHATTAN,MANHATTAN,1003813,252041,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85844745,-73.92927889,"(40.85844745053305, -73.92927888866892)"
32309519,12/31/15 13:39,1/4/16 11:30,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11364,61-09 217 STREET,217 STREET,HORACE HARDING EXPY,64 AVE,,,ADDRESS,Oakland Gardens,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",1/4/16 11:30,11 QUEENS,QUEENS,1050667,211652,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.747363,-73.76029969,"(40.747363000363336, -73.7602996860884)"
32307475,12/31/15 13:39,12/31/15 13:57,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10472,1207 BEACH AVENUE,BEACH AVENUE,GLEASON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,12/31/15 21:39,The Police Department responded to the complaint and determined that police action was not necessary.,12/31/15 13:57,09 BRONX,BRONX,1021327,241829,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83036236,-73.86602154,"(40.83036235589997, -73.86602154214397)"
32305164,12/31/15 13:40,12/31/15 19:37,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10029,112 EAST 116 ST-MARIN BOULEVARD,EAST 116 ST-MARIN BOULEVARD,PARK AVENUE,LEXINGTON AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,12/31/15 21:40,The Police Department responded to the complaint and took action to fix the condition.,12/31/15 19:37,11 MANHATTAN,MANHATTAN,1000150,230385,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79901529,-73.94257212,"(40.799015294731724, -73.9425721160894)"
32305931,12/31/15 13:40,12/31/15 15:07,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11203,621 LEFFERTS AVENUE,LEFFERTS AVENUE,KINGSTON AVENUE,ALBANY AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/31/15 21:40,The Police Department responded to the complaint and took action to fix the condition.,12/31/15 15:07,09 BROOKLYN,BROOKLYN,1000628,180820,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6629707,-73.94096631,"(40.66297070221315, -73.94096631353185)"
32310285,12/31/15 13:43,12/31/15 17:08,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10034,569 ACADEMY STREET,ACADEMY STREET,NAGLE AVENUE,POST AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,12/31/15 21:43,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/15 17:08,12 MANHATTAN,MANHATTAN,1005541,253797,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86326314,-73.92302652,"(40.86326314171466, -73.92302651709883)"
32308901,12/31/15 13:45,12/31/15 15:15,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11230,900 AVENUE H,AVENUE H,EAST 9 STREET,EAST 10 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/31/15 21:45,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/15 15:15,14 BROOKLYN,BROOKLYN,993171,168564,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62934128,-73.9678609,"(40.629341284816775, -73.96786090380945)"
32310681,12/31/15 13:46,1/15/16 16:57,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11201,1 PIERREPONT STREET,PIERREPONT STREET,CLARK STREET,PIERREPONT STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,1/10/16 13:46,The New York City Economic Development Corporation determined that the helicopter tour operator was operating within the limits of the New York City Helicopter Sightseeing Plan which establishes specific routing for tour flights.,1/15/16 16:57,02 BROOKLYN,BROOKLYN,985073,193057,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6965736,-73.99703204,"(40.696573601808964, -73.99703204253264)"
32307357,12/31/15 13:46,12/31/15 14:15,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10028,1584 2 AVENUE,2 AVENUE,EAST 82 STREET,EAST 83 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/31/15 21:46,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,12/31/15 14:15,08 MANHATTAN,MANHATTAN,997127,221793,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77543748,-73.95350711,"(40.77543747962276, -73.9535071062277)"
32309237,12/31/15 13:46,12/31/15 15:36,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10453,,,,,WEST  183 STREET,GRAND AVENUE,INTERSECTION,BRONX,,Precinct,Closed,12/31/15 21:46,This complaint does not fall under the Police Department's jurisdiction.,12/31/15 15:36,05 BRONX,BRONX,1010329,252246,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85899327,-73.90572248,"(40.85899327013792, -73.90572247843104)"
